ｻｰﾋﾞｽ種類,区名,介護保険事業所番号,申請者-法人名,事業所-名称,事業所-郵便番号,事業所-所在地,事業所-直通電話番号,事業所-FAX番号,状態区分,介護,予防,経度,緯度
居宅介護支援,中区,3470214267,グリーンライフ株式会社,グリーンライフ広島ケアプランセンター,730-0841,広島市中区舟入町３番９号,082-536-3770,082-536-3778,現存,○,,132.263857,34.23294455
居宅介護支援,中区,3470209622,社会福祉法人ＩＧＬ学園福祉会,ＩＧＬ居宅介護支援事業所ベルビュー広島,730-0847,広島市中区舟入南一丁目８番８号,082-235-3383,082-235-3384,現存,○,,132.2625576,34.22401141
居宅介護支援,中区,3470212840,株式会社彩縁舎,エイトケアプランセンター,730-0847,広島市中区舟入南二丁目１番６号レジデンス松本１階,082-299-0772,082-296-3076,現存,○,,132.2620396,34.2247426
居宅介護支援,中区,3470210414,イベイション株式会社,みどりの風居宅介護支援事業所,730-0843,広島市中区舟入本町１６番１４号進藤ビル１F,082-533-7358,082-503-7812,現存,○,,132.2635281,34.2304905
居宅介護支援,中区,3470207865,株式会社フロムワン,さやか居宅介護支援事業所,730-0813,広島市中区住吉町６番６号カーサ住吉１F,082-545-1084,082-545-1085,現存,○,,132.2652507,34.23024287
居宅介護支援,中区,3470215710,株式会社Shine,介護相談室かがやき中央,730-0805,広島市中区十日市町一丁目１番３３-２０５号,082-533-7346,082-533-7347,休止,○,,132.2656596,34.2351865
居宅介護支援,中区,3470215199,株式会社　NEPENTHE,十日市居宅介護支援事業所,730-0805,広島市中区十日市町一丁目5番18-207号,082-503-8051,082-503-8052,現存,○,,132.2652588,34.23472483
居宅介護支援,中区,3470215686,合同会社くるみ,くるみ居宅介護支援事業所,730-0805,広島市中区十日市町二丁目１番２５－５１５号,090-4690-7713,082-553-0294,現存,○,,132.2656885,34.24026255
居宅介護支援,中区,3470210893,有限会社ゆうサービス,ゆう支援サービス,730-0805,広島市中区十日市町二丁目２番３４－３０３号,082-235-2121,082-235-2225,現存,○,,132.2654436,34.24029028
居宅介護支援,中区,3470214697,合同会社みこと,ケアサポートみこと,730-0041,広島市中区小町９番５号鶴亀殿ビル２階,082-244-7018,082-258-1214,現存,○,,132.273377,34.23111006
居宅介護支援,中区,3470208525,株式会社ウェルネット,やまびこ居宅介護支援事業所,730-0012,広島市中区上八丁堀８番１０号,082-511-1188,082-511-1189,現存,○,,132.2752404,34.23532921
居宅介護支援,中区,3470201157,医療法人社団つばさ会,よつば居宅介護支援事業所,730-0806,広島市中区西十日市町１番１９号,082-503-8050,082-503-8030,現存,○,,132.2648389,34.23546537
居宅介護支援,中区,3470215231,株式会社マイレ,居宅介護支援事業所ノア,730-0806,広島市中区西十日市町7番8-301号,082-942-3530,082-942-3539,現存,○,,132.2645995,34.23541264
居宅介護支援,中区,3470215579,一般社団法人Ｌｅ　Ｂｏｉｓ,居宅介護支援事業所きなこ,730-0846,広島市中区西川口町１番１１号パラシオン舟入６０１号,082-942-5967,082-942-5968,現存,○,,132.2625575,34.22571557
居宅介護支援,中区,3470203088,有限会社めぐみ,めぐみ指定居宅介護支援事業所,730-0846,広島市中区西川口町４番３１号,082-532-6800,082-532-6801,現存,○,,132.2621735,34.22594836
居宅介護支援,中区,3470210422,ほほえみ株式会社,ほほえみ居宅介護支援事業所エクセレント,730-0024,広島市中区西平塚町４番１５号,082-541-2525,082-541-2522,現存,○,,132.2803982,34.232112
居宅介護支援,中区,3470211305,日本赤十字社,広島赤十字・原爆病院居宅介護支援事業所,730-8619,広島市中区千田町一丁目９番６号,082-241-8311,082-241-0922,現存,○,,132.2714998,34.22510085
居宅介護支援,中区,3470215769,株式会社ＯｌｕＯｌｕＢａｓｅ,ケアプランオフィスおるおる,730-0052,広島市中区千田町三丁目１１番２５-２０２号,082-207-2981,082-207-2982,現存,○,,132.2731576,34.22324876
居宅介護支援,中区,3470215900,株式会社リアン,居宅介護支援事業所キララ千田町,730-0052,広島市中区千田町二丁目２番１９号,082-569-6441,082-569-6442,現存,○,,132.2718912,34.22465013
居宅介護支援,中区,3470214598,医療法人社団みずほ会,みずほ居宅介護支援事業所,730-0036,広島市中区袋町５番１３号JDS袋町ビル２F,082-207-3404,082-207-3405,現存,○,,132.2727133,34.23286768
居宅介護支援,中区,3470215280,ＳＯＭＰＯケア株式会社,ＳＯＭＰＯケア平和公園居宅介護支援,730-0051,広島市中区大手町三丁目１１番２０号,082-544-5007,082-246-7576,現存,○,,132.2706365,34.23136467
居宅介護支援,中区,3470215892,株式会社KOYOプラス,KOYOプラス・ケアプランセンター,730-0051,広島市中区大手町三丁目１番３号IT大手町ビル３階,082-298-7370,082-836-5688,現存,○,,132.2718782,34.2321318
居宅介護支援,中区,3470207568,医療法人三和会,おおうち病院居宅介護支援事業所,730-0051,広島市中区大手町三丁目８番２８号ＡＲＫＦＩＶＥ大手町１０１,082-557-9641,082-557-9641,現存,○,,132.2714486,34.23148733
居宅介護支援,中区,3470212642,医療法人ほーむけあ,居宅介護支援事業所ほーむけあ,730-0048,広島市中区竹屋町８番８号,082-207-0517,082-207-0530,現存,○,,132.2744195,34.22575204
居宅介護支援,中区,3470108840,株式会社アイ・テック,ふれあいケアプランセンター・広島中央,730-0854,広島市中区土橋町３番１８号ファミール土橋２０２号室,082-533-6166,082-503-7663,現存,○,,132.2648655,34.23378508
居宅介護支援,中区,3470212501,社会福祉法人広島常光福祉会,ケアプランサービス東千田,730-0053,広島市中区東千田町一丁目１番４８号,082-236-1988,082-545-2588,現存,○,,132.2734677,34.224981
居宅介護支援,中区,3470213442,株式会社スマイル介護サービス,スマイル居宅介護支援事業所,730-0055,広島市中区南千田西町１番３３号元田ビル１F,082-576-6924,082-248-6007,現存,○,,132.2725389,34.22278355
居宅介護支援,中区,3470212550,有限会社デンタルレスキューサービス,れすきゅう居宅介護支援事業所,730-0003,広島市中区白島九軒町２３番２３号,082-224-1182,082-511-9382,現存,○,,132.280255,34.24216412
居宅介護支援,中区,3470207071,株式会社ニックス,ニックス中居宅介護支援事業所,730-0003,広島市中区白島九軒町６番１５号むねまさビル２０２号室,082-511-0294,082-511-5788,現存,○,,132.2756515,34.24266211
居宅介護支援,中区,3470214341,合同会社MRM,居宅介護支援事業所りた,730-0001,広島市中区白島北町１１番７－１０１号,082-962-1965,082-962-6265,休止,○,,132.2746586,34.24326945
居宅介護支援,中区,3470212949,ライフ・ネセサリー株式会社,ケアプランセンター柚李（ゆずき）,730-0013,広島市中区八丁堀１番２３号ヴェル八丁堀２０９号室,082-576-4380,082-576-4380,現存,○,,132.275101,34.23514133
居宅介護支援,中区,3470200670,社会福祉法人広島ＹＭＣＡ福祉会,居宅介護支援事業所・ピース,730-8523,広島市中区八丁堀７番１１号,082-223-8060,082-211-2250,現存,○,,132.2744963,34.23466871
居宅介護支援,中区,3470203724,有限会社ワカギリ,わかぎり居宅支援事業所,730-0043,広島市中区富士見町２番２０号チサンマンション１０１号,082-242-7455,082-242-7456,現存,○,,132.2745273,34.23145342
居宅介護支援,中区,3470213970,株式会社ｙａｓａｓｈｉｏ,三ツ星ケアプランオフィス,730-0802,広島市中区本川町三丁目４番１２号,082-208-0853,082-208-0863,現存,○,,132.2701498,34.23559467
居宅介護支援,東区,3470110309,株式会社クリエイト,ケアプランセンターカシス,732-0033,広島市東区温品四丁目１３番１４号２０５号室,082-573-5520,050-3730-8521,現存,○,,132.3029909,34.24378153
居宅介護支援,東区,3470110630,医療法人おかもと整形外科クリニック,ケアプランセンターおかもと,732-0033,広島市東区温品七丁目５番１２号,082-847-6920,082-847-6921,現存,○,,132.3034826,34.24572627
居宅介護支援,東区,3470100227,社会福祉法人藤田長生会,神田山長生園介護プランニング,732-0068,広島市東区牛田新町一丁目１８番１号,082-209-3588,082-228-9232,現存,○,,132.2824472,34.2510645
居宅介護支援,東区,3470102355,医療法人恒和会,医療法人恒和会牛田バラ苑居宅介護支援事業所,732-0068,広島市東区牛田新町三丁目３０番３０号,082-222-8000,082-222-8006,現存,○,,132.2819159,34.25267919
居宅介護支援,東区,3470110507,株式会社イシダ,ケアプランオフィス結,732-0062,広島市東区牛田早稲田一丁目２２番１３号ビーズステージ８１０１号,082-264-3200,082-228-0012,休止,○,,132.2833707,34.24342971
居宅介護支援,東区,3470106653,株式会社益田,ありす居宅介護支援事業所,732-0065,広島市東区牛田中一丁目１番１５号,082-223-1777,082-223-1777,現存,○,,132.2817579,34.24422217
居宅介護支援,東区,3470213434,株式会社コーセン,ケアサポートりふれ,732-0064,広島市東区牛田南一丁目９番２２号,082-962-0805,082-962-0806,現存,○,,132.2816502,34.24223407
居宅介護支援,東区,3470103163,社会福祉法人うすい会広島光明学園,介護支援センター光明,732-0066,広島市東区牛田本町五丁目１番２号,082-228-5621,082-228-2022,現存,○,,132.2806365,34.24500762
居宅介護支援,東区,3470106794,医療法人社団聖愛会,医療法人社団聖愛会牛田クリニック居宅介護支援事業所,732-0066,広島市東区牛田本町三丁目６番４号,082-223-3116,082-223-3117,現存,○,,132.2810436,34.24350933
居宅介護支援,東区,3470100235,公益社団法人広島県看護協会,広島県看護協会居宅介護支援事業所「ひろしま」,732-0066,広島市東区牛田本町六丁目１番２７号,082-502-6615,082-502-2166,現存,○,,132.2802818,34.24548296
居宅介護支援,東区,3470109889,株式会社菊地工務店,居宅介護支援事業所どりーむ,732-0008,広島市東区戸坂くるめ木一丁目４番３３－３０１号,082-516-8602,082-516-8603,現存,○,,132.2839437,34.26033438
居宅介護支援,東区,3470110325,株式会社多伽羅,かなえプランニングサポート,732-0016,広島市東区戸坂出江一丁目2番25－203号,082-229-5017,082-229-5018,現存,○,,132.2917126,34.25557631
居宅介護支援,東区,3470100615,医療法人社団輔仁会,太田川病院居宅介護支援事業所,732-0009,広島市東区戸坂千足一丁目２１番２５号,082-516-0078,082-516-0068,現存,○,,132.2902536,34.26129019
居宅介護支援,東区,3470101993,医療法人あかね会,土谷居宅介護支援事業所戸坂,732-0009,広島市東区戸坂千足二丁目７番１９号戸坂総合ビル２階,082-502-5215,082-502-5206,現存,○,,132.2909391,34.26117537
居宅介護支援,東区,3470105218,社会福祉法人かきつばた福祉会,居宅介護支援事業所へさか福寿苑,732-0014,広島市東区戸坂大上一丁目５番１－８号,082-220-2110,082-220-2128,現存,○,,132.2923161,34.25396671
居宅介護支援,東区,3470109681,社会福祉法人藤田長生会,神田山長生園介護プランニング戸坂,732-0003,広島市東区戸坂中町２番２９号,082-229-2187,082-229-2190,現存,○,,132.2912075,34.26103047
居宅介護支援,東区,3470109913,株式会社ライズ,ケアマネジメントＫ,732-0013,広島市東区戸坂南一丁目１４番３号,082-847-6767,082-847-6770,現存,○,,132.2926064,34.25313554
居宅介護支援,東区,3470110697,医療法人秋本クリニック,秋本クリニック居宅介護支援事業所ひろしま駅北,732-0052,広島市東区光町二丁目２番２７号１階,082-263-7775,082-263-7776,現存,○,,132.2851289,34.24078547
居宅介護支援,東区,3470102199,株式会社ホームナース中国,居宅介護支援事業所ホームナース中国,732-0052,広島市東区光町二丁目７番１７－４０１号,082-567-2151,082-567-2152,現存,○,,132.2845556,34.24011795
居宅介護支援,東区,3470109582,株式会社日本エルダリーケアサービス,おおぞら介護広島東ケアプランセンター,732-0053,広島市東区若草町３番１１号寺山ビル１０１号,082-298-6030,082-262-1761,現存,○,,132.2902008,34.23509739
居宅介護支援,東区,3470100532,社会福祉法人寿老園老人ホーム,あけぼの寿老園居宅介護支援事業所,732-0045,広島市東区曙一丁目１番２８号,082-261-4533,082-568-6544,現存,○,,132.2917452,34.23473848
居宅介護支援,東区,3470100185,医療法人たかまさ会,山﨑病院居宅介護支援事業所,732-0032,広島市東区上温品一丁目２４番９号,082-508-6134,082-280-2357,現存,○,,132.3044531,34.25179639
居宅介護支援,東区,3470110002,株式会社マグネット,カイゴの窓口東,732-0022,広島市東区中山鏡が丘１１番１６－１号,082-258-1860,082-280-1951,現存,○,,132.2955954,34.24549299
居宅介護支援,東区,3470101928,有限会社福祉計画研究所,有限会社福祉計画研究所,732-0025,広島市東区中山西二丁目４番１２－１０１号,082-289-9335,082-289-9314,現存,○,,132.2953959,34.24318421
居宅介護支援,東区,3470108014,社会福祉法人広島東福祉会,虹の里第２居宅介護支援事業所,732-0031,広島市東区馬木三丁目２６番２－４号,082-516-5225,082-899-8008,現存,○,,132.3150977,34.26077724
居宅介護支援,東区,3470101688,社会福祉法人広島東福祉会,虹の里居宅介護支援事業所,732-0031,広島市東区馬木二丁目１３９８番地の１,082-508-5551,082-508-5550,現存,○,,132.314154,34.26169549
居宅介護支援,東区,3470109699,株式会社あいウェル,ケアセンターオネット,732-0047,広島市東区尾長西一丁目８番１０号第２角谷ハイム205,082-236-9137,082-236-9138,現存,○,,132.2914929,34.23491541
居宅介護支援,東区,3470103361,株式会社ニックス,ニックス東居宅介護支援事業所,732-0046,広島市東区尾長東二丁目７番２８号,082-569-5200,082-261-8001,現存,○,,132.2917632,34.23530092
居宅介護支援,東区,3470103601,医療法人社団ひろまさ会,ミルキーケア居宅介護支援事業所,732-0046,広島市東区尾長東二丁目８番２１号,082-258-1560,082-236-6601,現存,○,,132.2919139,34.23528608
居宅介護支援,東区,3470106349,株式会社天畠,ケアプランセンターミモザ,732-0046,広島市東区尾長東二丁目８番２８号,082-258-1555,082-262-0555,現存,○,,132.2920686,34.23535639
居宅介護支援,東区,3470100151,社会福祉法人広島常光福祉会,居宅介護支援事業所ふくだの里,732-0029,広島市東区福田四丁目３９５９番地の１,082-899-7398,082-899-5218,現存,○,,132.3233065,34.27085407
居宅介護支援,東区,3470107362,株式会社ニチイ学館,ニチイケアセンター矢賀居宅介護支援事業所,732-0042,広島市東区矢賀二丁目８番１９号,082-890-5080,082-890-5078,現存,○,,132.2947836,34.23583218
居宅介護支援,南区,3470110689,株式会社Ｓ・Ｖ・Ｎ,居宅介護支援事業所かえで,734-0036,広島市南区旭二丁目１８番７号コーポこだま303号室,082-298-6010,082-298-6011,現存,○,,132.2842122,34.22207726
居宅介護支援,南区,3470106844,医療法人社団ひがしの会,居宅介護支援事業所サザンリーフ宇品海岸,734-0011,広島市南区宇品海岸１丁目１２番４３号,082-250-1565,082-250-7256,現存,○,,132.2734824,34.21093957
居宅介護支援,南区,3470108691,ほほえみ株式会社,ほほえみみゆき居宅介護支援事業所,734-0015,広島市南区宇品御幸一丁目１５番７号,082-254-0067,082-254-0078,現存,○,,132.2749564,34.22037883
居宅介護支援,南区,3470102934,医療法人翠幸会,翠幸会指定居宅介護支援事業所,734-0015,広島市南区宇品御幸一丁目１７番１号,082-256-5000,082-256-5830,現存,○,,132.2752228,34.22051593
居宅介護支援,南区,3470107735,有限会社めぐみ,めぐみ居宅介護支援事業所御幸,734-0015,広島市南区宇品御幸四丁目１４番７－１号,082-256-2330,082-256-233,現存,○,,132.2744772,34.21311044
居宅介護支援,南区,3470108170,株式会社ユーステイブル,介護支援事業所プラスサポート,734-0004,広島市南区宇品神田二丁目９番１３号,082-236-7340,082-254-1066,現存,○,,132.275688,34.21554301
居宅介護支援,南区,3470103015,株式会社ビー・スマイル,居宅介護支援事業所ケアセンター宇品,734-0004,広島市南区宇品神田二丁目９番４号,082-250-8351,082-250-8352,現存,○,,132.2758587,34.2154899
居宅介護支援,南区,3470100110,社会福祉法人広島和光園,広島和光園居宅介護支援事業所,734-0003,広島市南区宇品東三丁目６番２６号,082-255-0072,082-298-0025,現存,○,,132.2822554,34.21513612
居宅介護支援,南区,3470212238,あいりは株式会社,あいりは在宅相談室広島南,734-0037,広島市南区霞二丁目１番１号１０１,082-286-2347,082-255-0088,現存,○,,132.2902491,34.22473873
居宅介護支援,南区,3470106026,株式会社ＯＦＦＩＣＥ・ＮＡＯ,ハーモニー・ケアプランセンター,734-0007,広島市南区皆実町三丁目１番１８号,082-250-1511,082-250-4808,現存,○,,132.2802011,34.22386403
居宅介護支援,南区,3470107305,株式会社F＆M,ビーマイセルフ福祉センター,732-0828,広島市南区京橋町７番１６号ＷＩＮＤビル２Ｆ,082-258-2268,082-258-2492,現存,○,,132.2817621,34.23401536
居宅介護支援,南区,3470100086,医療法人和同会,元宇品居宅介護支援事業所,734-0012,広島市南区元宇品町２６番２０号,082-255-1422,082-255-6826,現存,○,,132.2732707,34.20548621
居宅介護支援,南区,3470110424,さくらケア合同会社,居宅介護支援事業所さくらケア,734-0055,広島市南区向洋新町一丁目２０番８号,082-284-8511,050-3730-0382,休止,○,,132.3052213,34.21563007
居宅介護支援,南区,3470100466,社会福祉法人広島平和養老館,広島平和養老館居宅介護支援事業所,734-0017,広島市南区似島町字東大谷３０７３番地の５,082-259-2709,082-259-2286,現存,○,,132.2635908,34.18276793
居宅介護支援,南区,3470100383,医療法人あかね会,土谷居宅介護支援事業所出汐,734-0001,広島市南区出汐一丁目７番１６号,082-250-3730,082-250-1578,休止,○,,132.2831806,34.22461638
居宅介護支援,南区,3470108717,パナソニックエイジフリー株式会社,パナソニックエイジフリーケアセンター広島中央・ケアマネジメント,734-0001,広島市南区出汐三丁目１０番６号,082-254-9511,082-254-8961,現存,○,,132.2835759,34.22345559
居宅介護支援,南区,3470100516,社会福祉法人光清学園,居宅介護支援事業所光清苑,734-0001,広島市南区出汐二丁目３番４６号,082-252-0588,082-207-0229,現存,○,,132.2832939,34.22320366
居宅介護支援,南区,3470107131,社会福祉法人あと会,でじま・くにくさ居宅介護支援事業所,734-0013,広島市南区出島一丁目１８番１７号,082-251-3370,082-251-8787,現存,○,,132.271741,34.21399813
居宅介護支援,南区,3470108246,株式会社はーとふるケアサービス,はーとふる居宅介護支援事業所広島,734-0021,広島市南区上東雲町２７番６号ＥＡＳＴ１０１０１号室,082-581-8505,082-259-3120,休止,○,,132.2911829,34.23050885
居宅介護支援,南区,3470110127,ＦａｓｔＣａｒｅ株式会社,ケアプランセンターnao,734-0026,広島市南区仁保一丁目１３番１３号ー２,082-258-1451,082-258-1452,現存,○,,132.2942226,34.22207972
居宅介護支援,南区,3470109145,株式会社ウェルプランニング,ぐっとほーむ居宅介護支援事業所,734-0024,広島市南区仁保新町一丁目９番２８号２F,082-510-3636,082-510-3637,現存,○,,132.2932266,34.22362094
居宅介護支援,南区,3470102439,株式会社ニックス,ニックス南居宅介護支援事業所,734-0024,広島市南区仁保新町二丁目９番３２号,082-890-0008,082-890-2223,現存,○,,132.2947132,34.22315187
居宅介護支援,南区,3470108816,社会福祉法人あと会,宇品・くにくさ居宅介護支援事業所,734-0005,広島市南区翠五丁目７番１７号,082-236-9293,082-236-9287,現存,○,,132.2755852,34.22069366
居宅介護支援,南区,3470106893,株式会社ソーシャルオフィス,ゆずりは居宅介護支援事業所,734-0005,広島市南区翠三丁目５番２８号グリンピア１０１号,082-252-6370,082-252-6371,現存,○,,132.2818964,34.22222443
居宅介護支援,南区,3470102348,有限会社慈恵コーポレイション,慈恵コーポレイションサービスセンター豊,734-0005,広島市南区翠四丁目７番３８号,082-255-2829,082-255-2926,現存,○,,132.2820483,34.22083123
居宅介護支援,南区,3470109798,株式会社ホロン,居宅介護支援事業所すずらん,734-0002,広島市南区西旭町１０番５号１０４号,082-207-1992,082-207-1993,現存,○,,132.2825655,34.22200416
居宅介護支援,南区,3470109731,株式会社カルムケア,オフィスカルムケア,734-0002,広島市南区西旭町１４－２４－２０１,082-546-9238,082-546-9239,現存,○,,132.2829584,34.22171944
居宅介護支援,南区,3470110648,有限会社百樹,なだの郷居宅介護支援事業所,734-0053,広島市南区青崎二丁目１６番１５号,082-281-3393,082-581-6171,現存,○,,132.3031698,34.22184695
居宅介護支援,南区,3470110168,株式会社ＳＡＴＳＵＫＩ,ケアプランセンターさつき,732-0802,広島市南区大州三丁目４番２２号第６ガーデンビル２０２号室,082-236-6334,082-236-6335,現存,○,,132.2925898,34.23213331
居宅介護支援,南区,3470110226,株式会社Shine,介護相談室かがやき南,732-0802,広島市南区大州三丁目７番２ー１０１号,082-288-3151,082-288-3152,現存,○,,132.2939022,34.23164199
居宅介護支援,南区,3470107388,有限会社バースト,ケアサポートセンター丹那,734-0034,広島市南区丹那町２２番１０-５号,082-259-3379,082-259-3370,現存,○,,132.2841346,34.21584587
居宅介護支援,南区,3470107719,株式会社いでしたケアサービス,いでしたケアプランセンター広島南,732-0811,広島市南区段原一丁目８番１０号田邉ビル２階,082-569-6580,082-569-6581,現存,○,,132.2835566,34.23235504
居宅介護支援,南区,3470109962,医療法人健康の風,居宅介護支援事業所ライフループ,732-0811,広島市南区段原三丁目２番１９号グランシャリオＫ１階,082-207-3066,082-567-5506,現存,○,,132.2837566,34.23245269
居宅介護支援,南区,3470100458,有限会社まごころネット,有限会社まごころネット居宅介護支援事業所,732-0811,広島市南区段原三丁目３番２７号,082-568-7338,082-568-7373,現存,○,,132.2838468,34.23209648
居宅介護支援,南区,3470100045,生活協同組合ひろしま,生協ひろしま居宅介護支援事業所・広島南,732-0814,広島市南区段原南一丁目１番１２号ヒジヤマタナカビル２階,082-568-8761,082-567-6761,現存,○,,132.2837211,34.23069819
居宅介護支援,南区,3470110671,株式会社Shine,介護相談室小さなかがやき段原,732-0814,広島市南区段原南二丁目2番8-101号,082-262-0700,082-262-0702,現存,○,,132.2841949,34.23093177
居宅介護支援,南区,3470110044,株式会社彩縁舎,エイトケアプランセンター南,732-0814,広島市南区段原南二丁目３番１１号,082-261-0788,082-569-5711,現存,○,,132.2839777,34.23069
居宅介護支援,南区,3470100037,株式会社広島福祉サービス,株式会社広島福祉サービス広島市南居宅介護支援事業所,734-0022,広島市南区東雲一丁目２２番２４号,082-508-0010,082-508-0011,現存,○,,132.2919762,34.22573279
居宅介護支援,南区,3470108766,株式会社こもれび,ケアサポートこもれび,734-0022,広島市南区東雲二丁目１８番８号,082-569-5580,082-510-1088,現存,○,,132.2926254,34.22466221
居宅介護支援,南区,3470100391,医療法人社団古川医院,古川医院居宅介護支援事業所,734-0023,広島市南区東雲本町一丁目１番２号,082-283-3507,082-890-5711,現存,○,,132.2902264,34.23036393
居宅介護支援,南区,3470110499,合同会社といろ,といろ居宅介護支援事業所,734-0023,広島市南区東雲本町三丁目８番３２号コーポさえき１０６号,090-8993-9018,082-258-4606,現存,○,,132.2914396,34.22440051
居宅介護支援,南区,3470107024,社会福祉法人広島厚生会,居宅介護支援センター広島八景園,734-0025,広島市南区東本浦町２６番８号たおビル２階,082-284-7380,082-569-7300,現存,○,,132.29355,34.22267027
居宅介護支援,南区,3470103379,医療法人秋本外科クリニック,居宅介護支援事業所あきもと,734-0025,広島市南区東本浦町５番２２号,082-288-4114,082-288-4118,現存,○,,132.2916064,34.22320377
居宅介護支援,南区,3470104989,社会福祉法人サンシャイン,居宅介護支援事業所サンシャイン南蟹屋,732-0803,広島市南区南蟹屋一丁目８番１２号,082-508-1330,082-508-1325,現存,○,,132.2901142,34.23226683
居宅介護支援,南区,3470100623,社会福祉法人三篠会,居宅介護支援事業所ひうな荘,734-0031,広島市南区日宇那町３０番１号,082-256-1001,082-256-1008,現存,○,,132.2934162,34.21568194
居宅介護支援,南区,3470109236,株式会社サンホーワ,ひまわり指定居宅介護支援事業所,732-0817,広島市南区比治山町３番１４号ダイアパレスリバーサイド比治山３０７,082-258-2231,082-258-2232,現存,○,,132.2817013,34.23163904
居宅介護支援,南区,3470104294,テルウェル西日本株式会社,ＮＴＴグループケアポート広島居宅介護支援事業所,732-0816,広島市南区比治山本町１１番１号,082-250-1215,082-250-1160,現存,○,,132.2820705,34.22494444
居宅介護支援,南区,3470108253,医療法人社団まりも会,居宅介護支援事業所ひらまつ,732-0816,広島市南区比治山本町１１番３２号,082-250-8062,082-256-3656,現存,○,,132.2816475,34.22484834
居宅介護支援,南区,3470100490,社会福祉法人輝き奉仕会,居宅介護支援事業所輝き,734-0042,広島市南区北大河町３９番１号,082-285-6005,082-288-9181,現存,○,,132.2856137,34.22172968
居宅介護支援,南区,3470104385,有限会社開花,居宅介護支援事業所羽ばたき,734-0052,広島市南区堀越三丁目１１番１－１０１号,082-288-6251,082-284-7477,現存,○,,132.3043635,34.22205789
